Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_ch_tot_sdbf,Close_ch_tot_sdbf,Streak,Bestmove
2020,11,5,3,1823.83,1805.52,1822.21,0.012506648,0.036089326,0.014641562,22.81,65.16,26.68,5,0.00
2020,11,4,2,1801.02,1740.36,1795.53,0.014458474,-0.009888759,0.012954392,26.04,-17.21,23.26,4,1.00
2020,11,3,1,1774.98,1757.57,1772.27,0.01264803,0.026997502,0.013457317,22.45,47.45,23.85,3,1.00
2020,11,2,0,1752.53,1710.12,1748.42,0.016981164,0.004344724,0.017615905,29.76,7.43,30.8,2,1.00
2020,10,30,4,1722.77,1702.69,1717.62,-0.006396675,-0.001239216,0.0009257,-11.02,-2.11,1.59,1,1.00
2020,10,29,3,1733.79,1704.8,1716.03,-0.006165683,-0.006123885,-0.003863569,-10.69,-10.44,-6.63,-4,1.00
2020,10,28,2,1744.48,1715.24,1722.66,-0.023410988,-0.02452135,-0.024003576,-40.84,-42.06,-41.35,-3,0.00
2020,10,27,1,1785.32,1757.3,1764.01,-0.01322452,-0.010038127,-0.006235792,-23.61,-17.64,-11,-2,0.00
2020,10,26,0,1808.93,1774.94,1775.01,-0.011697523,-0.022248639,-0.025312533,-21.16,-39.49,-44.93,-1,0.00
2020,10,23,4,1830.09,1814.43,1819.94,0.006442306,0.012466725,0.002005561,11.79,22.62,3.65,1,0.00
2020,10,22,3,1818.3,1791.81,1816.29,-0.017219381,-0.013271496,-0.002439038,-31.31,-23.78,-4.43,-2,1.00
2020,10,21,2,1849.61,1815.59,1820.72,-0.002562702,-0.011654614,-0.011462498,-4.74,-21.16,-20.87,-1,0.00
2020,10,20,1,1854.35,1836.75,1841.59,0.001574676,0.001660542,0,2.92,3.05,0,1,0.00
2020,10,19,0,1851.43,1833.7,1841.59,0.005255397,0.011932159,0.003415527,9.73,21.88,6.29,2,1.00
2020,10,16,4,1841.7,1811.82,1835.3,0.009018841,0.00513296,0.012177846,16.61,9.3,22.35,1,1.00
2020,10,15,3,1825.09,1802.52,1812.95,-0.013100724,-0.017181501,-0.015389283,-23.91,-30.97,-27.9,-1,1.00
2020,10,14,2,1849,1833.49,1840.85,-0.00388318,0.000725393,0.00401445,-7.18,1.33,7.39,1,0.00
2020,10,13,1,1856.18,1832.16,1833.46,-0.000835048,-0.004966815,-0.011960992,-1.55,-9.1,-21.93,-1,1.00
2020,10,12,0,1857.73,1841.26,1855.39,0.004936132,0.002693808,0.008257024,9.17,4.96,15.32,1,0.00
2020,10,9,4,1848.56,1836.3,1840.07,-0.001222573,0.001372325,-0.000722799,-2.26,2.52,-1.33,-1,1.00
2020,10,8,3,1850.82,1833.78,1841.4,-0.000172896,-0.001434196,0.001183882,-0.32,-2.63,2.18,2,0.00
2020,10,7,2,1851.14,1836.41,1839.22,-0.00239312,0.001421251,3.81E-05,-4.43,2.61,0.07,1,1.00
2020,10,6,1,1855.57,1833.8,1839.15,0.007194555,0.003015596,-0.000288177,13.35,5.53,-0.53,-1,1.00
2020,10,5,0,1842.22,1828.27,1839.68,0.014059124,0.020560421,0.014127457,25.9,37.59,25.99,1,0.00
2020,10,2,4,1816.32,1790.68,1813.69,-0.014138478,-0.019607077,-0.009014771,-25.68,-35.11,-16.35,-1,1.00
2020,10,1,3,1842,1825.79,1830.04,0.000385451,0.002733063,0.000349719,0.71,4.99,0.64,1,0.00
2020,9,30,2,1841.29,1820.8,1829.4,-0.000548528,-0.003838972,-0.003935717,-1.01,-6.99,-7.2,-1,1.00
2020,9,29,1,1842.3,1827.79,1836.6,0.002903979,0.011500227,0.001067189,5.35,21.02,1.96,3,0.00
2020,9,28,0,1836.95,1806.77,1834.64,0.026021394,0.024541032,0.027673004,47.8,44.34,50.77,2,1.00
2020,9,25,4,1789.15,1762.43,1783.87,5.59E-05,-0.002859688,0.003565282,0.1,-5.04,6.36,1,1.00
2020,9,24,3,1789.05,1767.47,1777.51,-0.014242196,-0.0125773,-0.010199661,-25.48,-22.23,-18.13,-1,1.00
2020,9,23,2,1814.53,1789.7,1795.64,0.011666933,0.007179974,0.00764073,21.17,12.85,13.72,2,0.00
2020,9,22,1,1793.36,1776.85,1781.92,-0.016148459,0.004012719,0.006347086,-28.96,7.13,11.31,1,1.00
2020,9,21,0,1822.32,1769.72,1770.61,-0.013740726,-0.034621296,-0.036569318,-25.04,-61.27,-64.75,-1,1.00
2020,9,18,4,1847.36,1830.99,1835.36,0.005824528,0.008514519,0.000877212,10.76,15.59,1.61,1,0.00
2020,9,17,3,1836.6,1815.4,1833.75,-0.001546336,-0.003134295,-0.002459441,-2.84,-5.69,-4.51,-1,1.00
2020,9,16,2,1839.44,1821.09,1838.26,0.005474492,0.010998907,0.010586098,10.07,20.03,19.46,3,0.00
