Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_Ch_tot_sdbf,Close_Ch_tot_sdbf,Streak,Bestmove
2021,8,12,3,2406.31,2395.47,2405.53,0.081036940378%,0.299314956981%,0.167946356936%,1.95,7.17,4.04,5,Behall
2021,8,11,2,2404.36,2388.3,2401.49,0.377647274119%,0.106351798350%,0.322716313622%,9.08,2.54,7.75,4,Behall
2021,8,10,1,2395.28,2385.76,2393.74,0.399953241375%,0.764955402052%,0.375145170319%,9.58,18.25,8.98,3,Behall
2021,8,9,0,2385.7,2367.51,2384.76,-0.448924843861%,-0.514042179336%,0.180311645616%,-10.71,-12.17,4.3,2,Behall
2021,8,6,4,2396.41,2379.68,2380.46,-0.302953167446%,-0.450060512338%,-0.555354847382%,-7.26,-10.71,-13.22,1,Kop
2021,8,5,3,2403.67,2390.39,2393.68,0.265427450524%,0.338438497484%,0.024230473580%,6.38,8.09,0.58,-1,Salj
2021,8,4,2,2397.29,2382.3,2393.1,0.564804424997%,0.489023212862%,0.541556976307%,13.54,11.65,12.96,2,Behall
2021,8,3,1,2383.75,2370.65,2380.14,-0.375039328789%,-0.171261046548%,-0.063861789643%,-8.94,-4.06,-1.52,1,Kop
2021,8,2,0,2392.69,2374.71,2381.66,0.781547128964%,0.908321437144%,0.494193125803%,18.7,21.57,11.77,-1,Salj
2021,7,30,4,2373.99,2353.14,2369.89,-0.778015071673%,-1.131679373093%,-0.603403533497%,-18.47,-26.63,-14.3,1,Kop
2021,7,29,3,2392.46,2379.77,2384.19,0.321426481529%,0.258428335511%,0.096468821696%,7.69,6.15,2.3,-1,Salj
2021,7,28,2,2384.77,2373.62,2381.89,-0.039836126754%,0.279320194471%,0.248542124112%,-0.95,6.63,5.92,2,Behall
2021,7,27,1,2385.72,2366.99,2375.97,-0.295089113559%,-0.343051723919%,-0.492009579246%,-7.04,-8.12,-11.69,1,Kop
2021,7,26,0,2392.76,2375.11,2387.66,0.332670221836%,0.727124217405%,0.124389569704%,7.96,17.27,2.97,-1,Salj
2021,7,23,4,2384.8,2357.84,2384.69,1.159845689366%,0.713364774539%,1.356151113981%,27.66,16.82,32.34,5,Behall
2021,7,22,3,2357.14,2341.02,2352.35,0.781031249735%,1.035446087603%,0.764342040938%,18.41,24.24,17.98,4,Behall
2021,7,21,2,2338.73,2316.78,2334.37,1.219892847828%,1.504242957898%,1.320698946611%,28.53,34.85,30.83,3,Behall
